,股票代码,公司名称,营业收入,净利润,净资产收益率(%)
0,300475,聚隆科技,4.77亿,8740万,7.49
1,000982,*ST中绒,27.97亿,4796万,2.53
2,000939,凯迪生态,54.46亿,-23.81亿,-22.30
3,000693,*ST华泽,3.91亿,-22.88亿,0.00
4,002541,鸿路钢构,50.33亿,2.10亿,5.33
5,002492,恒基达鑫,2.26亿,6496万,5.47
6,600362,江西铜业,2050亿,16.04亿,3.39
7,002481,双塔食品,20.68亿,3690万,1.42
8,002477,雏鹰农牧,56.98亿,4519万,0.68
9,002422,科伦药业,114亿,7.49亿,6.45
10,600143,金发科技,231亿,5.48亿,5.61
11,002932,明德生物,1.65亿,6549万,31.51
12,002149,西部材料,15.59亿,5407万,3.11
13,000598,兴蓉环境,37.31亿,8.96亿,9.64
14,000979,中弘股份,10.16亿,-25.11亿,-29.27
15,600461,洪城水业,35.44亿,2.74亿,8.74
16,600399,*ST抚钢,49.84亿,-13.38亿,-292.10
17,002857,三晖电气,2.04亿,3325万,8.96
18,603706,东方环宇,4.45亿,9657万,18.83
19,603105,芯能科技,9.36亿,1.16亿,12.12
20,601015,陕西黑猫,95.83亿,2.48亿,6.93
21,603713,密尔克卫,12.91亿,8369万,12.47
22,603603,博天环境,30.46亿,2.02亿,17.09
23,002601,龙蟒佰利,104亿,25.02亿,19.14
24,002177,御银股份,5.70亿,1377万,0.82
25,000529,广弘控股,23.06亿,1.55亿,11.88
26,000638,万方发展,1.28亿,1616万,6.99
27,000157,中联重科,233亿,13.32亿,3.57
28,000586,汇源通信,3.90亿,81.49万,0.34
29,002709,天赐材料,20.57亿,3.05亿,15.17
30,200160,东沣B,2.50亿,410万,1.13
31,002369,卓翼科技,27.63亿,2049万,1.03
32,002358,森源电气,35.51亿,4.47亿,9.49
33,600652,游久游戏,1.77亿,-4.22亿,-21.71
34,000409,*ST地矿,14.30亿,-2.25亿,-27.29
35,002692,睿康股份,25.73亿,7487万,5.09
36,000778,新兴铸管,413亿,10.93亿,5.73
37,002773,康弘药业,27.86亿,6.44亿,20.34
38,200530,大冷B,20.80亿,2.01亿,5.97
39,000530,大冷股份,20.80亿,2.01亿,5.97
40,000518,四环生物,3.46亿,729万,1.17
41,000650,仁和药业,38.44亿,3.80亿,13.20
42,603693,江苏新能,14.18亿,3.12亿,9.85
43,000670,盈方微,2.41亿,-3.31亿,-61.18
44,600966,博汇纸业,89.55亿,8.56亿,18.87
45,600290,华仪电气,21.78亿,5983万,1.45
46,000998,隆平高科,31.90亿,7.72亿,13.10
47,300008,天海防务,14.84亿,1.64亿,5.18
48,002524,光正集团,5.54亿,542万,0.73
49,000733,振华科技,80.18亿,2.04亿,4.99
50,600289,*ST信通,13.26亿,-24.79亿,-124.63
51,000833,贵糖股份,19.07亿,7977万,2.98
52,002695,煌上煌,14.78亿,1.41亿,8.52
53,603766,隆鑫通用,106亿,9.65亿,15.89
54,002497,雅化集团,23.58亿,2.38亿,9.59
55,600862,中航高科,30.44亿,8357万,2.43
56,601012,隆基股份,164亿,35.65亿,30.14
57,300023,宝德股份,7.22亿,2953万,2.79
58,300139,晓程科技,1.38亿,-1.90亿,-15.68
59,000668,荣丰控股,2.70亿,1038万,1.70
60,000783,长江证券,56.40亿,15.45亿,5.96
61,002106,莱宝高科,39.89亿,1.41亿,3.82
62,000573,粤宏远A,5.66亿,3547万,2.10
63,000058,深赛格,20.30亿,2.20亿,11.96
64,000911,南宁糖业,29.06亿,-1.93亿,-12.88
65,002872,天圣制药,22.61亿,2.49亿,9.98
66,002505,大康农业,124亿,2378万,0.43
67,002276,万马股份,74.09亿,1.15亿,3.26
68,000520,长航凤凰,8.32亿,5082万,17.45
69,000571,新大洲A,16.03亿,2139万,0.97
70,600728,佳都科技,43.12亿,2.13亿,6.95
71,000413,东旭光电,173亿,17.44亿,7.09
72,002792,通宇通讯,15.35亿,1.11亿,5.92
73,002812,创新股份,12.20亿,1.56亿,9.74
74,300291,华录百纳,22.48亿,1.10亿,1.73
75,002635,安洁科技,27.15亿,3.91亿,9.72
76,002096,南岭民爆,26.24亿,2705万,1.32
77,300262,巴安水务,9.10亿,1.43亿,6.94
78,603587,地素时尚,19.46亿,4.80亿,43.98
79,002723,金莱特,9.87亿,767万,1.19
80,300216,千山药机,3.08亿,-3.24亿,-38.52
81,002074,国轩高科,48.38亿,8.38亿,18.27
82,000636,风华高科,33.55亿,2.47亿,5.51
83,600365,通葡股份,9.41亿,606万,0.88
84,000766,通化金马,15.21亿,2.58亿,6.07
85,002668,奥马电器,69.64亿,3.81亿,11.66
86,002545,东方铁塔,20.47亿,2.51亿,3.61
87,000608,阳光股份,5.34亿,1.52亿,5.23
88,600069,银鸽投资,29.37亿,5559万,2.71
89,000961,中南建设,306亿,6.03亿,4.39
90,000953,ST河化,2.21亿,2946万,-
91,000768,中航飞机,311亿,4.71亿,3.03
