,股票代码,公司名称,营业收入,净利润,净资产收益率(%)
0,600362,江西铜业,1858亿,6.37亿,1.39
1,600143,金发科技,157亿,7.12亿,8.77
2,002932,明德生物,9534万,3560万,44.50
3,600461,洪城水业,30.90亿,2.57亿,11.14
4,600399,*ST抚钢,45.58亿,5182万,17.89
5,603706,东方环宇,3.49亿,9501万,32.13
6,603105,芯能科技,16.03亿,1.20亿,87.44
7,002473,*ST圣莱,1.05亿,-1569万,-4.11
8,603713,密尔克卫,6.30亿,5135万,14.26
9,000550,江铃汽车,245亿,22.22亿,19.56
10,200550,江铃B,245亿,22.22亿,19.56
11,603693,江苏新能,8.71亿,1.42亿,5.76
12,000789,万年青,55.83亿,2.49亿,9.72
13,603587,地素时尚,18.52亿,5.03亿,63.70
14,300216,千山药机,5.39亿,3333万,3.49
15,603650,彤程新材,15.60亿,7662万,19.20
16,300747,锐科激光,3.13亿,2464万,14.04
17,002674,兴业科技,23.58亿,1330万,0.83
18,000886,海南高速,2.12亿,-2.36亿,-9.03
19,601066,中信建投,190亿,86.39亿,40.00
20,300750,宁德时代,57.03亿,9.31亿,130.37
21,603666,亿嘉和,1.90亿,1351万,23.14
22,601330,绿色动力,5.18亿,1.51亿,8.35
23,300132,青松股份,5.89亿,1090万,1.81
24,601138,工业富联,2728亿,144亿,27.67
25,600321,*ST正源,5.64亿,-5973万,-2.24
26,600506,香梨股份,5787万,623万,2.26
27,603486,科沃斯,26.95亿,1.79亿,26.63
28,300746,汉嘉设计,4.95亿,4817万,9.10
29,300454,深信服,13.19亿,3.30亿,29.07
30,603045,福达合金,8.49亿,4106万,10.08
31,600680,*ST上普,12.15亿,-9817万,-7.92
32,900930,*ST沪普B,12.15亿,-9817万,-7.92
33,300745,欣锐科技,3.46亿,9190万,74.00
34,600029,南方航空,1115亿,38.51亿,10.38
35,601990,南京证券,30.00亿,14.13亿,24.24
36,600654,ST中安,19.08亿,2.89亿,8.39
37,002190,成飞集成,16.66亿,9912万,5.93
38,000006,深振业A,36.54亿,4.17亿,9.77
39,002323,雅百特,4.44亿,6933万,19.52
40,002715,登云股份,2.40亿,-3217万,-10.22
41,300267,尔康制药,17.38亿,5.89亿,29.02
42,603013,亚普股份,62.16亿,3.91亿,18.53
43,603259,药明康德,48.83亿,3.49亿,14.45
44,000417,合肥百货,97.65亿,2.62亿,7.91
45,002163,中航三鑫,45.39亿,-2.30亿,-27.20
46,300235,方直科技,9944万,2135万,6.35
47,002360,同德化工,6.75亿,8104万,8.58
48,600883,博闻科技,1254万,7071万,10.81
49,600677,航天通信,60.25亿,1082万,0.65
50,603876,鼎胜新材,64.18亿,1.61亿,11.56
51,603773,沃格光电,2.23亿,3408万,12.41
52,300056,三维丝,6.88亿,6887万,11.49
53,300742,越博动力,3.52亿,2635万,20.95
54,300743,天地数码,3.12亿,3486万,40.98
55,603301,振德医疗,10.21亿,7906万,50.92
56,300504,天邑股份,10.87亿,1.20亿,33.20
57,603596,伯特利,14.71亿,1.66亿,42.80
58,603897,长城科技,28.90亿,5237万,11.82
59,600929,湖南盐业,22.59亿,2.04亿,13.30
60,002931,锋龙股份,2.53亿,3778万,42.40
61,002930,宏川智慧,3.32亿,8013万,11.85
62,603214,爱婴室,13.88亿,5962万,25.44
63,300634,彩讯股份,3.51亿,6866万,9.77
64,300345,红宇新材,2.32亿,2320万,3.65
