,code,name,income_2015,profit_2015,roe_2015(%),income_2016,profit_2016,roe_2016(%),income_2017,profit_2017,roe_2017(%)
56,300624,万兴科技,2.63亿,4991万,28.0,3.68亿,6349万,29.87,4.67亿,6860万,27.71
57,603356,华菱精工,5.95亿,5119万,22.71,5.71亿,6391万,23.73,6.82亿,5968万,18.9
58,603506,南都物业,4.71亿,2211万,20.53,5.78亿,6296万,38.93,8.20亿,7483万,29.58
59,603056,德邦股份,129亿,3.37亿,17.06,170亿,3.80亿,16.27,204亿,5.47亿,19.53
60,601828,美凯龙,91.79亿,32.25亿,10.48,94.36亿,33.97亿,9.55,110亿,40.78亿,10.48
61,601838,成都银行,89.59亿,28.16亿,14.69,86.21亿,25.77亿,12.24,96.54亿,39.09亿,16.83
62,300735,光弘科技,9.18亿,9517万,23.39,12.27亿,1.54亿,31.52,12.74亿,1.74亿,24.86
63,002923,润都股份,5.78亿,7117万,25.35,6.52亿,8747万,24.68,7.79亿,9065万,20.44
64,300664,鹏鹞环保,8.22亿,1.75亿,10.61,7.08亿,2.63亿,14.04,8.08亿,2.19亿,10.38
65,603080,新疆火炬,3.06亿,9861万,42.01,3.11亿,1.19亿,30.8,3.61亿,8526万,17.56
66,002922,伊戈尔,7.98亿,1.27亿,38.77,8.81亿,7163万,16.52,11.49亿,7776万,16.27
67,603329,上海雅仕,15.89亿,7568万,23.5,13.25亿,6485万,18.4,17.00亿,7784万,19.81
68,603655,朗博科技,1.42亿,3414万,17.47,1.56亿,3018万,11.18,1.87亿,3527万,11.71
69,002920,德赛西威,36.68亿,3.59亿,49.99,56.78亿,5.90亿,55.63,60.10亿,6.16亿,41.37
70,002918,蒙娜丽莎,15.81亿,1.16亿,27.64,23.24亿,2.33亿,34.51,28.90亿,3.02亿,32.0
71,603871,嘉友国际,6.27亿,1.02亿,39.36,9.57亿,1.46亿,41.55,32.44亿,2.06亿,43.82
72,300731,科创新源,1.54亿,3536万,29.98,1.88亿,5405万,31.46,2.54亿,6421万,28.53
73,300727,润禾材料,2.69亿,3350万,19.45,3.01亿,3629万,17.18,4.61亿,4819万,17.0
74,603685,晨丰科技,4.62亿,5872万,31.74,5.82亿,9251万,31.41,7.77亿,1.12亿,26.32
75,002915,中欣氟材,3.78亿,3655万,19.77,3.44亿,3276万,12.67,4.01亿,4704万,15.64
76,300730,科创信息,2.49亿,3434万,24.76,2.71亿,3749万,20.87,3.07亿,4449万,21.25
77,603917,合力科技,3.85亿,7383万,24.4,4.56亿,7836万,21.25,5.39亿,8176万,17.54
78,603283,赛腾股份,4.89亿,1.27亿,60.09,4.03亿,4805万,16.35,6.83亿,9567万,27.4
79,603848,好太太,6.79亿,1.33亿,34.01,8.08亿,1.52亿,28.42,11.13亿,2.06亿,27.95
80,002913,奥士康,10.55亿,1.62亿,30.66,13.12亿,1.90亿,27.37,17.36亿,1.73亿,18.52
81,603711,香飘飘,19.52亿,2.04亿,22.77,23.90亿,2.66亿,23.53,26.40亿,2.68亿,19.58
82,300729,乐歌股份,3.77亿,5086万,22.82,4.88亿,6008万,20.09,7.48亿,6283万,16.07
83,603661,恒林股份,15.30亿,1.90亿,43.22,17.23亿,2.64亿,51.14,18.96亿,1.66亿,19.63
84,300736,百华悦邦,6.21亿,4008万,25.44,6.48亿,4725万,26.28,6.75亿,3964万,20.45
85,002911,佛燃股份,40.94亿,3.69亿,26.24,37.69亿,3.37亿,21.42,42.92亿,3.47亿,21.01
86,002925,盈趣科技,9.80亿,1.65亿,50.88,16.48亿,4.45亿,72.25,32.67亿,9.84亿,80.97
87,300684,中石科技,1.78亿,3369万,11.37,1.98亿,3687万,11.66,5.70亿,8224万,22.24
88,603890,春秋电子,12.75亿,8709万,49.41,14.65亿,1.47亿,45.84,17.40亿,1.60亿,31.44
89,603161,科华控股,6.17亿,8102万,21.58,7.35亿,1.00亿,19.51,9.17亿,1.07亿,17.5
90,300726,宏达电子,3.95亿,7496万,18.5,4.49亿,1.96亿,28.11,5.24亿,2.00亿,21.73
91,603365,水星家纺,18.51亿,1.35亿,20.36,19.77亿,1.98亿,24.36,24.62亿,2.57亿,24.21
92,300723,一品红,10.28亿,6042万,41.85,12.51亿,1.37亿,51.92,13.80亿,1.57亿,33.84
93,601019,山东出版,77.50亿,9.84亿,23.14,80.34亿,10.47亿,22.14,89.01亿,13.65亿,23.51
94,300733,西菱动力,5.12亿,6297万,15.11,6.48亿,9276万,19.76,6.16亿,1.01亿,17.76
95,002864,盘龙药业,2.56亿,4264万,15.97,3.05亿,3953万,12.83,3.77亿,4372万,11.98
96,300721,怡达股份,10.95亿,5757万,18.7,10.02亿,5953万,13.72,12.13亿,6458万,11.83
97,300717,华信新材,2.40亿,4228万,19.27,2.28亿,4219万,17.12,2.84亿,4309万,14.33
98,300720,海川智能,1.13亿,3183万,17.01,1.36亿,3788万,17.95,1.51亿,3815万,15.23
99,603507,振江股份,4.22亿,5587万,25.47,8.23亿,1.45亿,32.06,9.43亿,1.16亿,16.49
100,603709,中源家居,4.26亿,5912万,83.73,5.92亿,7322万,69.28,7.85亿,8268万,51.63
101,603477,振静股份,5.43亿,3972万,12.8,5.92亿,5829万,14.55,6.55亿,6239万,13.48
102,603916,苏博特,13.14亿,1.71亿,19.46,13.14亿,1.33亿,12.54,16.80亿,1.34亿,10.87
103,300711,广哈通信,2.57亿,4669万,24.13,2.64亿,5369万,23.03,2.61亿,5529万,17.6
104,300719,安达维尔,3.11亿,5371万,22.11,3.98亿,9118万,27.04,4.40亿,8979万,18.57
105,002916,深南电路,35.19亿,1.62亿,12.15,45.99亿,2.74亿,18.48,56.87亿,4.48亿,25.61
106,603856,东宏股份,11.33亿,1.00亿,14.34,11.24亿,9771万,12.39,15.06亿,1.22亿,12.59
107,300718,长盛轴承,3.73亿,8879万,21.29,4.04亿,8075万,17.4,5.67亿,1.21亿,19.78
108,603659,璞泰来,9.23亿,9929万,29.82,16.77亿,3.54亿,43.11,22.49亿,4.51亿,32.45
109,300732,设研院,4.05亿,4995万,10.32,5.91亿,1.30亿,22.52,9.35亿,2.30亿,31.26
110,603937,丽岛新材,10.11亿,5652万,9.69,11.28亿,8791万,13.42,12.44亿,9600万,11.75
111,300713,英可瑞,2.56亿,6058万,53.38,3.89亿,9769万,50.68,3.80亿,8423万,24.21
112,300712,永福股份,3.87亿,5780万,20.79,4.45亿,7330万,19.15,5.64亿,7697万,14.8
113,002910,庄园牧场,6.26亿,7325万,13.0,6.66亿,7591万,11.0,6.28亿,6835万,8.0
114,603260,合盛硅业,36.14亿,2.49亿,13.03,45.75亿,6.52亿,28.02,69.50亿,15.17亿,42.12
115,300715,凯伦股份,2.18亿,2853万,31.12,2.69亿,4024万,30.32,3.94亿,4457万,22.24
116,002917,金奥博,3.99亿,7253万,43.75,4.56亿,6177万,32.97,4.32亿,6252万,22.19
117,002921,联诚精密,5.07亿,4326万,11.99,5.12亿,4746万,11.76,6.10亿,4710万,10.88
118,603607,京华激光,4.29亿,5638万,26.54,4.41亿,6710万,25.94,5.36亿,8263万,21.22
119,300709,精研科技,4.54亿,1.20亿,60.05,7.09亿,1.62亿,49.33,9.22亿,1.55亿,34.53
120,002909,集泰股份,5.06亿,4895万,22.64,5.01亿,4269万,16.41,8.02亿,4524万,16.69
121,603396,金辰股份,2.92亿,6464万,24.56,4.29亿,6539万,16.98,5.71亿,7617万,14.98
122,603829,洛凯股份,4.32亿,4327万,18.58,4.43亿,5221万,17.71,4.86亿,5365万,14.21
123,603722,阿科力,3.14亿,5669万,30.96,2.26亿,4599万,19.6,2.91亿,5001万,15.74
124,002907,华森制药,4.69亿,7384万,22.44,5.52亿,9571万,23.14,5.92亿,1.12亿,20.67
125,601108,财通证券,102亿,30.75亿,27.94,42.56亿,17.86亿,13.03,40.12亿,15.04亿,9.14
